name,link,price,postage,brand,metadescription,description,criteria,category,pageviews,unique_pageviews,time_on_page,articles_sold,unique_sales,total_revenue,average_revenue
meinwoody Baum-Pflanzset,/37645-meinwoody-baum-pflanzset-meinwoody?variant_id=691760,"
5,00
€
","
Versand 6,90 €
/
Versandkostenfrei ab 40,00 €
",meinwoody,"Pflanzset aus Saatgut, kompostierbarem Topf und torffreier Terra Preta Erde zum selbst pflanzen","
meinwoody Baum-Pflanzset
Mit diesem Baum-Pflanzset bekommst du alles zum Pflanzen in einem Komplettpaket zu Dir nach Hause. Mach deinen Garten, Balkon oder Terrasse zu deinem eigenen kleinen Wäldchen oder verschenke ein Set zur Geburt oder Hochzeit!
Lieferumfang:
• gewünschtes Saatgut in Forst-Qualität
• Terra Preta Konzentrat, 0,6 Liter, Pflanzenerde
• Pflanztopf ""HANFi"". 100% kompostierbar, aus nachwachsenden Rohstoffen
• Pflanzanleitung
Unser Saatgut wird unter höchsten Qualitätskriterien ausgewählt. Die Haltbarkeit der Saaten kann durch richtige Lagerung begünstigt werden. Samen sollten immer kühl, trocken und lichtgeschützt gelagert werden, um möglichst lange Haltbarkeit zu gewährleisten. Topf und Erde sind sehr lange haltbar, solange sie vor Feuchtigkeit geschützt werden.
Wir verwenden zur Verpackung ausschließlich recyceltes Umweltpapier und schonen damit Ressourcen. Die Erde ist zu 100% torffrei und schont damit die Torfgebiete und deren wichtige Aufgabe als Kohlenstoffspeicher.
Wir versenden mit dem Go-Green-Programm der DHL und sorgen somit für den Ausgleich der CO2-Emissionen.
EAN
0426049823117
Angebotsbeschreibung
Kein anderer Baum ist so häufig an Flussläufen und Seen zu beobachte wie die Erle. Mit Nässe kommt der Laubbaum hervorragend zurecht und war deshalb schon in der Steinzeit das bevorzugte Holz für die damaligen Pfahlbauten. Auch die berühmte italienische Hafenstadt Venedig ruht zu großen Teile auf dem Holz der Erle. Im Schnitt wird sie etwa 100 bis 120 Jahre alt und erreicht eine Höhe von 30 bis 40 Meter. Die Erle ist auch seit jeher sagenumwoben - So lauerten nach alten Volkssagen in von Erlen bewachsenen Mooren allerlei Dämonen, die einen in den Abgrund zogen, sobald man sich ihnen näherte.
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Samen
- erstklassiges Baumsaatgut in Forstqualität
- fortpflanzungsfähige Samen (kein Einweg-, Hybrid- und F1-Saatgut)
- kein gentechnisch manipuliertes Saatgut
Erde
- torffrei und rein organisch
- gute Durchlüftung
- optimale Nährstoffaufnahme
Topf
- rein organisch
- 100 % kompostierbar
- luft- und lichtdurchlässige Außenwand für gesundes Wurzelwachstum
Fair & Sozial
Wir fügen unsere Pflanzsets in Handarbeit selbst zusammen und geben einen Teil unserer Einnahmen an Hilfsprojekte von betterplace.org weiter.
Recycelt & Recyclebar
Alle Bestandteile sind vollständig recyclebar.
Vegan
Unsere Produkte enthalten keine tierischen Erzeugnisse.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#HERBALIST-Starter Kit (3er Kräuter-Blumen-Pflanzset),/230148-nummer-herbalist-starter-kit-3er-kraeuter-blumen-pflanzset-meinwoody,"
9,00
€
","
Versand 6,90 €
/
Versandkostenfrei ab 40,00 €
",meinwoody,"Mit dem #HERBALIST-Starter Kit (3er Kräuter-Blumen-Pflanzset) von meinwoody kannst du einen kleinen Kräuter-, Blumengarten ansäen und großziehen.","
#HERBALIST-Starter Kit (3er Kräuter-Blumen-Pflanzset)
Du suchst das perfekte Geschenk zu Weihnachten, für einen besonderen Anlass oder einfach nur so, um einem lieben Menschen eine Freude zu machen? 
Mit dem #HERBALIST-Starter Kit von meinwoody kannst du einen kleinen Kräutergarten ansäen und großziehen. Das Kit beinhaltet drei Sets mit je einer Sorte Kräuter-Saatgut und alles was du dazu brauchst um Kräuter-Samen selbst anzuziehen. Bio-Kamille, Bio-Koriander und Bio-Bienenweide Samen als Pflanzset im Starter Kit inkl. Meinwoody Schlüsselanhänger aus Holz. 
Lieferumfang:
- 3 Pflanzsets mit jeweils Saatgutmischung Bio-Kamille, Bio-Koriander und Bio-Bienenweide
- Terra Preta Erde
- Pflanztopf ""HANFi"" 
- Pflanz & Pflegeanleitung
- Meinwoody Schlüsselanhänger aus zertifiziertem Pappel Holz
Wissenswertes zur ""Echten Kamille""
- blutreinigend
- schmerzlindernd
- bei Sodbrennen
Ihren Ursprung hat die Kamille in Süd- und Osteuropa sowie in Westasien. Heute ist sie auch in Europa, Nordamerika und Australien heimisch. Der aus getrockneten oder frischen Blüten aufgebrühte Kamillentee ist der weltweit beliebteste Tee überhaupt. Die Kamille wirkt entspannend und stressmindernd und kann nicht nur als Tee sondern auch als Smoothie zubereitet werden. Dafür pflückt man sich einfach ein Dutzend Kamilleblüten ab und püriert sie zusammen mit Bananen und Wasser in einem Mixer. Lecker schmeckt das ganze auch mit Melone oder Papaya.
In keiner Hausapotheke sollte Kamille fehlen, denn das Anwendungsgebiet dieser kraftvollen Pflanze ist breit: Entzündungen im Mund- und Rachenraum, Hautentzündungen, Entzündungen der Bronchien, Nebenhöhlenentzündungen, Krämpfe, Magenbeschwerden und Ekzeme sind nur einige Beschwerden gegen die eine Kamillenzubereitung hilfreich ist.
Wissenswertes zum Koriander
- Blätter und Samen werden genutzt
- bereits im alten Rom und Ägypten bekannt
- wird auch für Parfüm verwendet
Koriander wird seit vielen Tausenden von Jahren als Gewürz- und Heilpflanze verwendet, sowohl die frischen Blätter als auch die getrockneten Samen. Wurden bei uns eher die Samen zum Würzen verwendet, finden die frischen Blätter im Mittelmeerraum Verwendung. Frischer Koriander ähnelt der glatten Petersilie, hat aber einen frischen, zitrusähnlichen Geschmack. Die Bestandteile des Korianders wirken positiv auf Appetit und Verdauung, da diese bei Magen- und Darmbeschwerden helfen. Koriander findet in Saucen, zu Fisch, mit Gemüse, in Currys oder auch zu Fleisch Verwendung und gibt eine frische Note hinzu. Für die Ernte der Blätter ist ein Anbau im Halbschatten empfehlenswert, für die Ernte der Samen hingegen ein sonniger Platz.
Wissenswertes zur Bienenweide
- Bietet Lebensraum für Bienen
- anti-karzinogen (krebshemmend)
- senkt den Blutzuckerspiegel
Mit dieser Mischung aus Buchweizen, Kornblume, Ringelblume, Borretsch, Dill und Phazelie werden grüne Flecken zum bunten Blütenmeer und bieten unseren Bienenfreunden einen Leckerbissen bei ihrer täglichen Arbeit.
In den heutigen Städten finden Bienen immer weniger Nahrung, dabei sind sie so wichtig für uns. Bienen bestäuben zusammen mit anderen Insekten Blumen, Bäume, viele Obst- und Gemüsesorten. Die Bienen in unserer heutigen Welt sind gefährdet, zum einen durch Pestizide, aber auch durch Parasiten wie die Varroa-Milbe, die ihnen das Leben schwer machen.
Durch die Bienenweide kannst Du helfen, dass es den Bienen bei uns wieder etwas besser geht.
MPN
80-10003
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Samen
- erstklassiges Baumsaatgut in Forstqualität
- fortpflanzungsfähige Samen (kein Einweg-, Hybrid- und F1-Saatgut)
- kein gentechnisch manipuliertes Saatgut
Erde
- torffrei und rein organisch
- gute Durchlüftung
- optimale Nährstoffaufnahme
Topf
- rein organisch
- 100 % kompostierbar
- luft- und lichtdurchlässige Außenwand für gesundes Wurzelwachstum
Fair & Sozial
Wir fügen unsere Pflanzsets in Handarbeit selbst zusammen und geben einen Teil unserer Einnahmen an Hilfsprojekte von betterplace.org weiter.
Recycelt & Recyclebar
Alle Bestandteile sind vollständig recyclebar.
Vegan
Unsere Produkte enthalten keine tierischen Erzeugnisse.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avoidwaste Sisal Säckchen,/222388-avoidwaste-sisal-saeckchen-avoidwaste-1,"
2,90
€
","
Versand 1,95 €
/
Versandkostenfrei ab 50,00 €
",Avoidwaste,Das Seifensäckchen aus Sisal in die perfekte Ergänzung für Seifen am Stück: zuhause in der Dusche und zur Aufbewahrung als Seifenbeutel nutzbar.,"
Avoidwaste Sisal Säckchen
Dieses kleine Sisal Seifensäckchen für feste Seifen kann mehr als du auf den ersten Blick vermutest. Nutzt du es zum Duschen, schäumt deine Seife darin wunderbar auf, während du gleichzeitig durch die leicht raue Struktur alte Hautschüppchen entfernen kannst. Neben diesem leichten Peeling dient das Material außerdem dazu, deine Seife leichter zu trocknen. Häng es dazu einfach an dem Bändchen in der Dusche oder am Waschbecken auf und schon tropft das Wasser ab.
Wann du es jedoch sicher am meisten schätzen wirst, ist wenn du deine Seife oder dein festes Shampoo bereits eine Weile benutzt und nur noch einzelne kleine Seifenreste übrig sind. Denn dann flutschen sie meist nur noch zwischen den Finger durch und lassen sich kaum noch aufschäumen. Hier also einfach in das nachhaltige Seifensäckchen füllen und schon ist das Duschen wieder entspannt. Noch dazu wird keine Seife verschwendet! Das Seifensäckchen aus Sisal ist die perfekte Ergänzung für Seifen am Stück: zu Hause in der Dusche und zur Aufbewahrung als Seifenbeutel nutzbar.
Vorteile des Sisal Seifensäckchens auf einen Blick
- Aus nachwachsenden Rohstoffen
- Biologisch abbaubar
- Waschbar bis 30°C
Technische Spezifikationen
- Material: Sisal
EAN
4280001538702
MPN
AW-050311
","
Avocadostore-Kriterien
Ressourcenschonend
Das Produkt besteht aus Sisal (Naturfasern), also nachwachsenden Rohstoffen. In dem Säckchen können außerdem auch Seifenreste noch genutzt werden.
Vegan
Es werden in der Produktion keine tierischen Bestandteile verwendet - 100% vegan.
Recycelt & Recyclebar
Sisal ist eine natürliche Resource und zu 100% biologisch abbaubar.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BioBoy®  veganer Universalreiniger,/63246-bioboy-r-veganer-universalreiniger-bioboy,"
14,90
€
19,95
€
(39,90/kg)
","
Versand 4,90 €
/
Versandkostenfrei ab 100,00 €
",promavis,BioBoy® veganer Universalreiniger für den Einsatz im gesamten Haushalt und für gewerbliche Zwecke,"
BioBoy®  veganer Universalreiniger
Der vegane BioBoy® Universalreiniger ist einen biologischen Universalreiniger
-	mit natürlicher Keim- u. Bakterien hemmender Wirkung
-	sehr hautverträglich, wohltuend und angenehm
-	biologisch abbaubar
-	hohe Reinigungskraft und konservierende Wirkung
-	Oberflächenpflege (Abperleffekt)
-	wirkt der erneuten Keim- und Bakterienbildung entgegen
-	ist umweltfreundlich, ohne Gifte, Säuren u. Duftstoffe
-	stellt keine Gefahr für Kinder, Allergiker, Kranke oder Tiere dar
-	Vegan
Lieferung:
500 Gramm Dose
Für den Einsatzt im gesamten Haushalt. DerReiniger ersetzt gleich mehrere Spezialmittel wie Scheuermilch, Bodenreiniger, Fensterreiniger, Hygienereiniger und vieles mehr. Von leichten Verschmutzungen bis hartnäckigen Verkrustungen – machen Sie es sich leicht und schonen Sie dabei die Umwelt.
Praktische Anwendung:
Spezialschwamm aus der Dose nehmen, gut anfeuchten, mehrmals leicht über den Reiniger gehen bis dünne Schicht auf dem Spezialschwamm, mehrfach zusammendrücken, bis Schaum entsteht. 
Tipp: Testen Sie auf einer nicht sichtbaren Stelle den Universalreiniger zunächst in kleiner Menge aus, bevor Sie die Fläche komplett reinigen
Inhaltsstoffe:
Duftstoffe (d-LIMONENE), Duftstoffe, 15% -< 30% Seife sowie Tonerde, neutrale Seife, pflanzliche Fette, Glycerin. Vegan.
Reiniger (648/2004/EG) enthält:
   Duftstoffe (d-LIMONENE)
   Duftstoffe
   15% -< 30% Seife
Weitere Inhaltsstoffe: Tonerde, neutrale Seife, pflanzliche Fette, Glycerin
Zulassung:
In der Schweiz beim Bundesamt für Gesundheit (BAG T) zugelassen.
Angebotsbeschreibung
Bioboy der vegane Universalreiniger für Haushalt und Gewerbe.
","
Avocadostore-Kriterien
Recycelt & Recyclebar
biologisch abbaubar
Made in Germany
Bioboy wird in Deutschland gefertigt.
Vegan
Duftstoffe (d-LIMONENE), Duftstoffe, 15% -< 30% Seife sowie Tonerde, neutrale Seife, pflanzliche Fette, Glycerin. Vegan.
Reiniger (648/2004/EG) enthält:
   Duftstoffe (d-LIMONENE)
   Duftstoffe
   15% -< 30% Seife
Weitere Inhaltsstoffe: Tonerde, neutrale Seife, pflanzliche Fette, Glycerin
",wohnen,143.0,327.0,910.0,35.0,1.0,30.0,4.0
Stifte aus recyceltem Zeitungspapier (12x),/179089-stifte-aus-recyceltem-zeitungspapier-12x-pandoo?variant_id=1385096,"
4,99
€
","
Versand 3,90 €
/
Versandkostenfrei ab 29,00 €
",pandoo,12 Blei- / Buntstifte aus recyceltem Zeitungspapier in plastikfreier Verpackung (12 Stück je Packung),"
Stifte aus recyceltem Zeitungspapier (12x)
Stifte aus altem Zeitungspapier
Für die Produktion von Bunt- und Bleistiften werden Unmengen an Holz benötigt. Dafür werden allein für einen bekannten Stifte-Hersteller fast 2000 Bäume pro Tag gefällt, umgerechnet eine Fläche eines Fußballfeldes.
Durch die Weiterverarbeitung von recycelten Zeitungen können wir der Abholzung von wertvollem Wald entgegenwirken. Wir schenken Zeitungspapier durch ein einfaches Upcycling ein zweites Leben!
Plastikfreie Verpackung
In der EU werden 40% der hergestellten Kunststoffe für Verpackungsmaterialien verwendet. Plastik-Verpackungen machen damit den größten Anteil an der Verschmutzung unseres Planeten durch Kunststoffe aus.
EAN
4260648830032
","
Avocadostore-Kriterien
Recycelt & Recyclebar
Aus recyceltem Zeitungspapier.
Ressourcenschonend
DIe Stifte werden aus altem Zeitungspapier hergestellt.
Schadstoffreduzierte Herstellung
Klimaneutrale Herstellung.
https://fpm.climatepartner.com/tracking/13337-1906-1001/de
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALM Trinkhalme Glasstrohhalme  4x 23 cm (gerade) + Reinigungsbürste,/105910-halm-trinkhalme-glasstrohhalme-4x-23-cm-gerade-plus-reinigungsbuerste-halm?variant_id=774727,"
7,90
€
(4,98/Stück)
",0,HALM,"Ihre nachhaltigen Trinkhalme aus Glas. ✓100% plastikfrei ✓Extrem stabil ✓Spülmaschinenfest. Für Cocktails, Softdrinks und Heißgetränke ➔ Jetzt online kaufen","
HALM Trinkhalme Glasstrohhalme  4x 23 cm (gerade) + Reinigungsbürste
HALM Strohhalme aus Glas bringen mehr Geschmack in deine Drinks und weniger Plastik in die Umwelt.
Jeden Tag werden über 3 Milliarden Plastik-Strohhalme verwendet und weggeschmissen! Damit ist jedoch bald Schluss, denn 2021 tritt das Gesetz gegen Einweg-Plastik in Kraft.
HALM hat die beste Alternative gefunden - den Glastrinkhalm!  
Die 23 cm Variante eignet sich für alle großen bzw. Highball Gläser und kann auch als Cocktail-Stößel oder Stirrer verwendet werden.
Unsere Trinkröhrchen sind: 
- Wiederverwendbar
- Umweltfreundlich
- Aus extrem stabilem Spezialglas
- Spülmaschinenfest
- 100% in Deutschland produziert 
- 100% plastikfrei
- Erhältlich in den Längen 10, 15, 20, 23, 27 und 30 cm
Wir bieten weniger Müll und einen besseren Geschmack für jedes Getränk!
Egal ob heiß oder kalt. 
Außerdem spendet jedes unserer Sets an weltweite Cleanups und Umwelt- und Tierschutzorganisationen. 
Wir setzen bei unseren Glasstrohhalmen auf stabiles und qualitativ hochwertiges Glas aus Deutschland, das im Vergleich zum Röhrchen aus Plastik, Edelstahl, Bambus oder Stroh absolut hygienisch, immer wieder verwendbar und geschmacklich 100% neutral ist. Unsere Trinkhalme sind zudem frei von Weichmachern, BPA, Farbe und Blei. 
Außerdem sind die Glastrinkhalme sehr stylisch und sehen in jedem Drink gut aus - schließlich trinkt das Auge mit!
Auch für Kinder ab 3 Jahren sind unsere Strohhalme geeignet - dank der abgerundeten Ecken und des stabilen Glases. 
HALM ist auch ideal für folgende Getränke und Gläser: 
- heiße Getränke wie Kaffee oder Tee
- jede Art von Cocktail oder Longdrink: Ob Mojito, Gin Tonic oder Caipirinha - mit HALM schmeckt jeder Cocktail noch besser! Wir lieben es, Aperol Spritz aus dem Weinglas zu trinken. Oder Gin Tonic aus dem Longdrink Glas.
- Auch bei Smoothies und Säften macht HALM eine hervorragende Figur! 
HALM wünscht viel Spaß beim nachhaltigen Schlürfen!
Lieferumfang:
4x 23 cm nachhaltige HALM Glasstrohhalme
1x hochwertige Reinigungsbürste aus Naturborsten
EAN
4260524740134
MPN
130002
","
Avocadostore-Kriterien
Fair & Sozial
Wir beziehen unsere Rohstoffe aus nachhaltigen Quellen. Die Herstellung findet regional unter fairen Arbeitsbedingungen und mit kurzen Transportwegen statt. In enger Zusammenarbeit mit dem Lebenshilfewerk, wo Menschen mit Handicap arbeiten, wird HALM verpackt. Außerdem spendet jedes Set an die Umweltorganisation Trash Hero und unterstützt damit weltweite Cleanups.
Haltbar
HALM ist 100% enkeltauglich! Unser Ziel: Der stabilste Glasstrohhalm der Welt. Darum produzieren wir unser Glas selbst und stellen besonders dickwandige Glastrinkhalme her, welche doppelt auf Qualität geprüft, professionell hergestellt und sauber verarbeitet werden. Zudem hält HALM Temperaturen bis zu -40 und +200 Grad stand. 
Made in Germany
Unsere gesamte Produktion findet in Deutschland statt - von der Herstellung des Glases über die Gravur bis hin zur Verpackung. HALM ist 100% Made in Germany. Wir stellen unser Glas in unserer eigenen Glashütte mit Öko-Siegel (EMAS) her, verpacken dieses ebenfalls in Deutschland und versenden schlussendlich plastikfrei und CO2-neutral direkt zu Ihnen.
Ressourcenschonend
Unsere HALM Glastrinkhalme sind 100% recyclebar! Wir benutzen deutsches Qualitätsglas, welches im Gegensatz zu dem oft verwendeten Borosilikatglas 100% rein ist und im Altglascontainer entsorgt werden kann. Unsere Verpackung ist 100% recyclebar und plastikfrei, da nur Karton aus FSC-zertifiziertem Papier benutzt wird. Auch unsere Reinigungsbürsten sind plastikfrei.
Schadstoffreduzierte Herstellung
Wir nutzten für die Herstellung unserer Trinkhalme Solarenergie und somit natürliche Energiequellen! Außerdem wird für HALM eine umweltfreundliche FSC® Papier-Verpackung aus nachhaltiger Forstwirtschaft, bedruckt mit Farbe ohne Erdöl, benutzt.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suppenteller ELSA,/200751-suppenteller-elsa-tranquillo,"
13,90
€
","
Versand 5,95 €
/
Versandkostenfrei ab 30,00 €
",Tranquillo ,"Porzellan Suppenteller, tiefer Teller, Schale, Keramik, weiß mit blauem Rand","
Suppenteller ELSA
Suppenteller ELSA besticht durch seine puristische Farb- und seine subtil verzerrte Formgebung. Sehr klassisch und durch die etwas ungleichmäßige Form gleichzeitig etwas Besonderes.
- Spülmaschinen- und Mikrowellengeeignet
Maße: Ø 20 x 4,5 cm
Material: Porzellan
MPN
POR186
","
Avocadostore-Kriterien
Fair & Sozial
Fairness von Anfang an! TRANQUILLO ist eine knallbunte Familie. Mit unseren Herstellern verfolgen wir unsere Ziele in Richtung Nachhaltigkeit und initiieren konkrete Verbesserungen der Arbeitsbedingungen vor Ort. Das wirkt sich auf die Qualität unserer Produkte aus. Die Einhaltung arbeitsrechtlicher Standards, angemessene Bezahlung und keine Kinderarbeit sind für uns ein absolutes Muss.
Ressourcenschonend
Die Verantwortung für unsere Umwelt ist uns wichtig. Wir evaluieren unsere Produktionsschritte, sorgen bei uns und unseren Herstellern für langfristige Veränderungen. Über den Produktionsprozess hinaus reduzieren wir die Emissionen unseres Unternehmens stetig. Umweltschonende, effiziente Transportwege, LED-Beleuchtung in unseren Läden und recycelte Materialien sind für uns selbstverständlich.
Vegan
Unsere Produkte sind frei von tierischen Inhaltsstoffen.
",wohnen,723.0,514.0,711.0,51.0,99.0,74.0,1.0
Grußkarte mit Umschlag,/165061-grusskarte-mit-umschlag-el-puente?variant_id=1306680,"
4,50
€
","
Versand 3,90 €
/
Versandkostenfrei ab 30,00 €
",El Puente GmbH,"El Puente - Fair-Trade Grußkarte - Doppelkarte mit Umschlag, Bäume, Schnee,Rotkehlchen, Winter, Schneemann, Wald, Vogel, 11,5 x 17,5 cm","
Grußkarte mit Umschlag
Grußkarte, Doppelkarte mit Umschlag, 11,5cm x 17,5 cm
Silence ist ein 1977 in Kalkutta gegründetes Selbsthilfeprojekt von Menschen mit Behinderung. Ziel von Silence ist sowohl die soziale als auch die wirtschaftliche Rehabilitation und Integration von gehörlosen und körperlich behinderten Menschen. Diese haben in der indischen Gesellschaft nach wie vor einen sehr schweren Stand.
Die Produktion erfolgt in zentralen Werkstätten. Rund 1500 Produzenten fertigen das Kunsthandwerk in ganz Indien an. Handbemalte und bedruckte Karten, Kerzen, Produkte aus Holz und Pappmaché. Auch Schmuck und Räucherstäbchen gehören zum Sortiment und werden zumeist als Geschenkartikel verkauft. Zusammen mit der lokalen Universität und einigen staatlichen Einrichtungen führt Silence regelmäßige Mitarbeiterschulungen durch. Weiterhin gibt es eine eigene Produktdesign-Abteilung, die für die Erarbeitung neuer Designs zuständig ist. Der Faire Handel unterstützt die Produzenten und hilft ihnen ihr Leben selbst zu finanzieren.
EAN
4030254495303
MPN
in7-30-210
","
Avocadostore-Kriterien
Fair & Sozial
Wir zahlen gerechtere, von den Produzenten kalkulierte Preise. Geltende Fairhandels-Mindestpreise stellen für El Puente das absolute Minimum dar, unsere Zahlungen gehen zumeist darüber hinaus. Durch eine zinsfreie Vorfinanzierung von bis zu 100 % können unsere Handelspartner unabhängiger wirtschaften. Zudem profitieren sie von Preisaufschlägen für soziale Projekte. So entstehen neue Schulen, Straßen oder Gesundheitsangebote. 
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegane Zahnseide im plastikfreien Glasflakon - 30 Meter - Minzgeschmack mit Bambus Aktivkohle,/213717-vegane-zahnseide-im-plastikfreien-glasflakon-30-meter-minzgeschmack-mit-bambus-aktivkohle-ecoyou,"
5,90
€
","
Versand 3,90 €
/
Versandkostenfrei ab 39,00 €
",EcoYou,Vegane Zahnseide im plastikfreien Glasflakon - Nachhaltig und Ergiebig. 30 Meter Zahnseide aus Bambus-Aktivkohle für die nachhaltige Zahnpflege,"
Vegane Zahnseide im plastikfreien Glasflakon - 30 Meter - Minzgeschmack mit Bambus Aktivkohle
Die vegane Zahnseide von EcoYou pflegt deine Zähne sanft und gründlich.
Sie hat einen erfrischenden Pfefferminz Geschmack und ist mit Candelillawachs überzogen.
Geschützt im hochwertigen und plastikfreien Glasflakon für weiße Zähne.
Vorteile Zahnseide:
- Nachhaltige und vegane Zahnreinigung
- Gründliche und sanfte Reinigung
- Mit Minzgeschmack
- Mit Aktivkohle Whitening Effekt
- Extra lang: 30 Meter (1 Rolle)
Plastikfreie Verpackung & Versand.
EAN
4260567250287
","
Avocadostore-Kriterien
Vegan
Die Zahnseide von EcoYou ist vegan und tierversuchsfrei.
Statt Bienenwachs setzen wir auf Candelilla Wachs.
Alle Produkte von EcoYou sind tierversuchsfrei und vegan. 
Im Jahr 2019 wurden alle Produkte von PETA zertifiziert.
Ressourcenschonend
Während bei gewöhnlicher Zahnseide der Plastikspender im Abfall landet, sobald die Zahnseide leer ist, kann der Glasflakon von EcoYou immer wieder genutzt werden.
Das passende Nachfüllset findest Du ebenfalls bei uns.
Das passende Nachfüllset 
",wohnen,22.0,580.0,354.0,56.0,75.0,31.0,58.0
Postkarte Friendship,/137686-postkarte-friendship-bow-und-hummingbird,"
1,40
€
","
Versand 4,90 €
/
Versandkostenfrei ab 55,00 €
",Bow & Hummingbird,"Karte aus reinem Recyclingpapier in fester 350 g Qualität. Zum Einrahmen, Verschenken und Verschicken, auf der Rückseite ist ein Adressfeld aufgedruckt.","
Postkarte Friendship
Karte aus reinem Recyclingpapier in fester 350 g Qualität. Zum Einrahmen, Verschenken und Verschicken, auf der Rückseite ist ein Adressfeld aufgedruckt.
Maße: DIN A6
MPN
No. 1613023-9
","
Avocadostore-Kriterien
Recycelt & Recyclebar
100 % Recyclingpapier
Made in Germany
Mit Liebe in Hamburg gestaltet und gedruckt.
Ressourcenschonend
Kein Einsatz von Frischfasern für die Papierherstellung.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SoulSpice Holy Greek Gewürzmischung,/223177-soulspice-holy-greek-gewuerzmischung-soulspice,"
6,80
€
(15,11/100g)
","
Versand 3,95 €
/
Versandkostenfrei ab 50,00 €
",KONTOR 1710,"Mediterraner Gewürzmix von Sternekoch Philipp Schmitz ✓ für original griechische Küche ✓ mit Majoran, Oregano,, Rauchsalz, Sumach, Paprika","
SoulSpice Holy Greek Gewürzmischung
Bei Zeus, einfach spitze: Majoran und Oregano, Paprika, Rauchsalz und Sumach verbindet der SoulSpice Head of Taste Philipp Schmitz zu einer irrwitzig guten Mischung, die Feta-Gerichte genauso typisch griechisch schmecken lässt wie selbst gebratenes Gyros und Suflaki.
Sie glauben, Gyros, Suflaki und Szsukakia können zu Hause nie so gut schmecken wie in der kleinen griechischen Taverne am Meer, in der sie letztes Jahr so manchen Grillteller und andere Knoblauchgenüsse gegessen haben? Dann hat Philipp Schmitz, der Head of Taste von Soul Spice etwas für Sie, das Sie genauso überraschen wird wie uns: Holy Greek. Eine einzigartige Geschmacksodysee, die wahrscheinlich selbst den Olymp in Verzückung bringt.
Typische Gewürze wie Majoran und Oregano sind die Basis für das echte Greek-Feeling. Paprika, Rauchsalz und Sumach kommen mit einem leicht orientalischen Hauch on top. Alles aus rein biologischem Anbau und naturrein. Und besonders schön: Der Gewinn am Verkauf der griechischen Wundermischung kommt auch bei dieser SoulSpice Kreation zu 50% den Farmern und Regionen zugute, die die feinen Zutaten für sie angebaut haben.
Inhaltsstoffe: Rauchsalz, Pfeffer*, Knoblauch*, Zwiebel*, Sumach*, Paprika*, Majoran*, Oregano*, Cumin*, Thymian*, (*) Alle Gewürze aus Bio-Anbau 
EAN
4260111117790
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Alle Gewürze werden ökologisch und naturrein angebaut. Dabei wird auch besonderen Wert auf eine  regenerierende Landwirtschaft gelegt und das natürliche Zusammenspiel einzelner Pflanzen. Vielfalt statt Monokultur ist dabei ein entscheidender Faktor.
Fair & Sozial
Soulspice gibt 50 Prozent ihres Gewinns direkt an die Farmer/Kleinbauern-Kooperativen ab. Sie sollen von den Einnahmen gut leben können und auch genügend Gewinn übrig haben, um zum Beispiel in neue Maschinen, noch bessere Böden zu investieren. Mit Aufbauprojekten sorgt Soulspice außerdem dafür, ausgelaugte Anbauregionen wieder zu regenerieren.
Made in Germany
Alle Gewürze gelangen ohne Zwischenhändler ins schwäbische Hohenlohe, wo sie von Hand gereinigt, gemahlen, gemischt und handverpackt werden. 
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
